,location,beds,price,baths,half_baths
222,East,1,725.0,1,0
223,East,1,725.0,1,0
224,Null,1,725.0,1,0
225,East,1,725.0,1,0
226,East,1,725.0,1,0
227,East,1,725.0,1,0
228,East,1,725.0,1,0
229,East,1,725.0,1,0
230,East,1,725.0,1,0
231,East,1,725.0,1,0
232,East,2,725.0,1,0
233,East,2,725.0,1,0
234,West,1,775.0,1,0
235,Null,1,725.0,1,0
236,East,1,725.0,1,0
237,Null,1,729.0,1,0
238,East,2,740.0,1,0
239,East,2,740.0,1,0
240,East,2,740.0,1,0
241,East,2,740.0,1,0
242,East,2,740.0,1,0
243,East,2,740.0,1,0
244,East,2,740.0,1,0
245,East,2,740.0,1,0
246,East,2,740.0,1,0
247,East,2,740.0,1,0
248,East,2,740.0,1,0
249,East,2,740.0,1,0
250,East,2,740.0,1,0
251,East,2,740.0,1,0
252,East,2,740.0,1,0
253,East,2,740.0,1,0
254,East,2,745.0,1,0
255,East,2,745.0,1,0
256,East,2,745.0,1,0
257,East,2,745.0,1,0
258,Null,0,762.5,1,0
259,Null,1,747.0,1,0
260,East,1,750.0,1,0
261,Null,1,750.0,1,0
262,Null,1,750.0,1,0
263,Null,1,750.0,1,0
264,Null,1,750.0,1,0
265,Null,2,750.0,1,0
266,Null,2,750.0,1,0
267,Null,2,750.0,1,0
268,Null,2,750.0,1,0
269,Null,2,750.0,1,0
270,Null,2,750.0,1,0
271,Null,2,750.0,1,0
272,Null,2,750.0,1,0
273,Null,1,750.0,1,0
274,Null,1,750.0,1,0
275,Null,1,750.0,1,0
276,East,1,750.0,1,0
277,North,2,750.0,1,0
278,Null,1,750.0,1,0
279,Null,1,750.0,1,0
280,East,2,750.0,1,0
281,East,2,750.0,1,0
282,East,2,750.0,1,0
283,East,2,750.0,1,0
284,West,1,475.0,1,1
285,Null,1,750.0,1,0
286,West,1,800.0,1,0
287,Null,1,751.0,1,0
288,North,2,765.0,1,0
289,Null,1,781.5,1,0
290,West,1,770.0,1,0
291,Null,2,770.0,1,0
292,East,2,770.0,1,0
293,East,1,775.0,1,0
294,East,2,775.0,1,0
295,Null,1,775.0,1,0
296,East,1,775.0,1,0
297,Null,1,775.0,1,0
298,North,1,775.0,1,0
299,East,1,487.5,1,0
300,East,2,775.0,1,0
301,North,2,775.0,1,0
302,Null,1,780.0,1,0
303,West,1,780.0,1,0
304,West,2,490.0,1,0
305,North,2,790.0,1,0
306,North,1,790.0,1,0
307,North,1,790.0,1,0
308,Null,2,790.0,1,0
309,Null,2,790.0,1,0
310,East,6,795.0,1,1
311,Null,1,795.0,1,0
312,Null,1,795.0,1,0
313,Null,1,795.0,1,0
314,East,2,795.0,1,0
315,East,1,795.0,1,0
316,East,1,795.0,1,0
317,East,2,447.5,1,0
318,East,2,447.5,1,0
319,North,1,795.0,1,0
320,East,2,799.0,1,0
321,West,1,800.0,1,0
322,West,4,500.0,1,0
323,West,4,500.0,1,0
324,West,1,860.0,1,0
325,Null,2,845.0,1,0
326,Null,2,835.0,1,0
327,Null,1,850.0,1,0
328,East,2,897.5,1,0
329,North,1,800.0,1,0
330,Null,2,400.0,1,0
331,North,2,800.0,1,0
332,North,2,800.0,1,0
333,North,2,800.0,1,0
334,North,2,800.0,1,0
335,North,2,800.0,1,0
336,North,2,800.0,1,0
337,North,2,800.0,1,0
338,North,2,800.0,1,0
339,East,2,850.0,1,0
340,North,1,800.0,1,0
341,Null,1,808.9,1,0
342,West,1,810.0,1,0
343,Null,1,810.0,1,0
344,North,1,810.0,1,0
345,West,2,810.0,1,0
346,Null,2,810.0,1,0
347,Null,2,810.0,1,0
348,Null,2,810.0,1,0
349,Null,2,810.0,1,0
350,Null,2,810.0,1,0
351,Null,2,810.0,1,0
352,Null,2,810.0,1,0
353,West,1,815.0,1,0
354,East,1,815.0,1,0
355,East,1,815.0,1,0
356,East,1,815.0,1,0
357,East,1,815.0,1,0
358,East,1,815.0,1,0
359,West,1,815.0,1,0
360,North,1,820.0,1,0
361,North,1,820.0,1,0
362,Null,2,820.0,1,0
363,East,1,820.0,1,0
364,East,1,820.0,1,0
