location_name_shorthand,beds,baths,price,Furnished,Parking,Laundry
East,4,1,1200,No,No,unit
East,2,1,1375,No,No,unit
East,3,1,999,No,No,unit
East,2,1,1225,No,No,unit
East,2,1,1149,No,No,unit
East,2,1,800,No,No,unit
East,2,1,800,No,No,unit
East,1,1,1175,No,No,unit
East,2,1,1225,No,No,unit
East,2,1,1325,No,No,unit
East,2,1,1160,No,Yes,unit
East,3,1,0,No,No,
East,6,1,0,No,No,
Null,3,2,1350,No,No,unit
Null,3,1,1300,No,No,unit
East,7,2,0,No,No,
East,8,2,0,No,No,
East,8,3,0,No,No,
East,10,3,0,No,No,
Null,7,3,0,No,No,
Null,8,3,0,No,No,
Null,6,3,4800,No,No,building
West,4,1,0,No,No,
East,Studio,undefined,1530,No,Yes,building
Null,3,1,0,No,No,
Null,4,3,2120,No,No,unit
Null,4,3,2040,No,No,unit
East,1,1,0,No,No,
East,5,2,500,No,No,
East,1,1,0,No,No,
East,5,1,0,No,No,
Null,2,1,0,No,No,building
Null,4,2,0,No,No,building
Null,5,2,0,No,No,building
East,9,3,0,No,No,
East,11,3,0,No,No,
Null,8,4,5000,No,No,
West,8,2,0,No,No,
West,7,2,0,No,No,
West,6,2,0,No,No,
West,5,2,0,No,No,
East,3,1,990,No,No,unit
Null,5,2,0,No,No,building
East,4,1,1900,No,Yes,unit
East,Studio,undefined,1800,No,Yes,unit
West,2,1,980,No,Yes,building
Null,6,2,0,No,No,
Null,7,2,0,No,No,
East,4,2,0,No,No,
East,5,2,2250,No,Yes,unit
East,6,2,0,No,No,
East,5,2,3400,No,No,building
West,2,1,1200,No,No,unit
West,2,1,1200,No,No,unit
West,2,1,1200,No,No,unit
West,2,1,1250,No,No,unit
Null,3,2,0,No,No,unit
Null,2,1,0,No,No,unit
West,2,1,1200,No,Yes,unit
Null,7,3,0,No,No,
East,8,2,2800,No,No,unit
Null,3,1,1700,No,No,
East,7,2,0,No,No,
Null,2,1,1000,No,No,unit
Null,2,1,1000,No,No,unit
Null,2,1,1000,No,No,unit
Null,2,1,1000,No,No,unit
Null,2,1,1000,No,No,unit
North,5,3,500,No,No,
North,6,3,0,No,No,
East,2,2,1175,Yes,Yes,building
East,2,2,1225,Yes,Yes,building
East,2,2,1200,Yes,Yes,building
East,3,3,1040,Yes,Yes,building
East,3,3,1075,Yes,Yes,building
East,4,4,1020,Yes,Yes,building
East,5,3,0,,,
East,6,3,0,,,
North,Studio,1,0,Yes,No,unit
North,Studio,1,0,Yes,No,unit
North,1,1,0,Yes,No,unit
North,1,1,0,Yes,No,unit
North,2,2,0,Yes,No,unit
North,2,2,0,Yes,No,unit
North,3,3,0,Yes,No,unit
North,3,3,0,Yes,No,unit
North,4,4,0,Yes,No,unit
North,4,4,0,Yes,No,unit
North,5,4,0,Yes,No,unit
North,5,4,0,Yes,No,unit
North,5,2,0,Yes,No,unit
North,5,2,0,Yes,No,unit
North,3,1.5,0,Yes,No,unit
North,3,1.5,0,Yes,No,unit
North,5,4,0,Yes,No,unit
North,5,4,0,Yes,No,unit
North,5,3.5,0,Yes,No,unit
North,5,3.5,0,Yes,No,unit
North,5,3,0,Yes,No,unit
North,5,3,0,Yes,No,unit
East,2,1,0,No,No,
East,4,1,0,No,No,
East,3,2,0,No,No,
East,4,2,0,No,No,
Null,6,2,3600,No,No,
East,1,1,650,No,Yes,building
East,1,1,725,No,Yes,building
Null,4,2,2352,No,Yes,unit
East,6,2,0,No,No,
East,6,2,0,No,No,
East,6,2,0,No,No,
West,7,2,0,No,Yes,unit
Null,6,3,4500,No,No,unit
East,1,1,0,No,No,building
Null,2,1,1300,No,No,unit
