location,beds,price,baths,location_sector,parking,laundry,furnished
West,1,695,1,Southwest,No,building,No
West,1,695,1,Southwest,No,building,No
North,1,695,1,Northwest,No,None,No
North,1,695,1,Northwest,No,None,No
West,1,695,1,Southwest,No,building,No
Null,1,720,1,Southeast,No,building,No
West,1,720,1,Southwest,No,building,No
Null,1,699,1,University,No,building,No
Null,1,854,1,Northwest,No,building,No
West,1,699,1,None,No,building,No
East,1,700,1,Central,Yes,building,Yes
East,1,700,1,Central,Yes,building,Yes
East,2,1100,1,Northeast,No,None,No
Null,2,1200,1,Northwest,No,unit,No
Null,1,700,1,None,Yes,building,Yes
Null,1,887,1,Southwest,Yes,building,Yes
Null,1,700,1,Northwest,Yes,None,Yes
Null,1,700,1,None,Yes,unit,Yes
East,1,700,1,Central,Yes,None,Yes
Null,1,725,1,Southwest,Yes,building,Yes
East,1,700,1,Central,No,None,No
East,1,705,1,Central,No,None,No
East,1,705,1,Central,No,None,No
East,1,705,1,Central,No,None,No
East,1,705,1,Southeast,No,None,No
East,1,705,1,Central,No,None,No
East,1,710,1,Northeast,No,building,No
West,3,2205,3,Southwest,Yes,unit,Yes
East,1,710,1,Central,Yes,None,Yes
North,1,720,1,Northwest,No,None,No
Null,1,720,1,None,No,building,No
North,1,720,1,Northeast,Yes,building,Yes
East,1,720,1,Central,Yes,None,Yes
East,1,720,1,Central,Yes,None,Yes
North,1,720,1,Central,Yes,building,Yes
East,1,725,1,Central,No,building,No
Null,1,725,1,Northeast,No,None,No
West,1,725,1,Southwest,No,building,No
East,1,725,1,Northeast,No,building,No
Null,1,725,1,Northeast,No,None,No
North,1,725,1,Northwest,No,building,No
Null,1,725,1,Southwest,No,building,No
East,1,725,1,Northeast,No,building,No
East,1,725,1,Central,No,building,No
East,1,725,1,Northeast,No,building,No
East,1,725,1,Northeast,No,building,No
East,1,725,1,Northeast,No,building,No
East,1,725,1,Northeast,No,building,No
East,1,725,1,Central,No,building,No
East,1,725,1,Northeast,No,building,No
East,1,725,1,Northeast,No,building,No
East,1,725,1,Northeast,No,building,No
East,2,725,1,Northeast,No,building,No
East,2,725,1,Northeast,No,building,No
West,1,825,1,Southwest,Yes,building,Yes
Null,1,729,1,Northwest,No,building,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,740,1,Central,No,None,No
East,2,745,1,Central,No,None,No
East,2,745,1,Central,No,None,No
East,2,745,1,Central,No,None,No
East,2,745,1,Central,No,None,No
Null,0,780,1,University,No,building,No
Null,1,747,1,Clintonville,No,building,No
North,2,750,1,Central,No,None,No
East,1,750,1,Central,Yes,None,Yes
Null,1,750,1,Southwest,No,building,No
Null,1,750,1,Southwest,No,building,No
Null,1,750,1,Southwest,No,building,No
Null,2,750,1,Northeast,No,building,No
Null,2,750,1,Northwest,No,building,No
Null,2,750,1,Northwest,No,building,No
Null,2,750,1,Northeast,No,building,No
Null,2,750,1,Northeast,No,building,No
Null,2,750,1,Northeast,No,building,No
Null,2,750,1,Northeast,No,building,No
Null,2,750,1,Northeast,No,building,No
Null,1,750,2,Southwest,No,building,No
Null,1,750,1,Southwest,No,building,No
Null,1,750,1,Southwest,No,building,No
East,1,750,1,Central,No,unit,No
Null,1,750,1,Southeast,Yes,None,Yes
East,2,750,1,Central,No,None,No
East,2,750,1,Central,No,None,No
